Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 7300, 7300, 10000, 10000
0, 1, 10000, 10000, 7300, 7300, 20000, 20000
0, 2, 20000, 20000, 7300, 7300, 30000, 30000
0, 3, 30000, 30000, 7300, 7300, 40000, 40000
0, 4, 40000, 40000, 7300, 7300, 50000, 50000
0, 5, 50000, 50000, 7300, 7300, 60000, 60000
0, 6, 60000, 60000, 7300, 7300, 70000, 70000
0, 7, 70000, 70000, 7300, 7300, 80000, 80000
0, 8, 80000, 80000, 7300, 7300, 90000, 90000
0, 9, 90000, 90000, 7300, 7300, 100000, 100000
0, 10, 100000, 100000, 7300, 7300, 110000, 110000
0, 11, 110000, 110000, 7300, 7300, 120000, 120000
0, 12, 120000, 120000, 7300, 7300, 130000, 130000
0, 13, 130000, 130000, 7300, 7300, 140000, 140000
0, 14, 140000, 140000, 7300, 7300, 150000, 150000
0, 15, 150000, 150000, 7300, 7300, 160000, 160000
0, 16, 160000, 160000, 7300, 7300, 170000, 170000
0, 17, 170000, 170000, 7300, 7300, 180000, 180000
0, 18, 180000, 180000, 7300, 7300, 190000, 190000
0, 19, 190000, 190000, 7300, 7300, 200000, 200000
0, 20, 200000, 200000, 7300, 7300, 210000, 210000
0, 21, 210000, 210000, 7300, 7300, 220000, 220000
0, 22, 220000, 220000, 7300, 7300, 230000, 230000
0, 23, 230000, 230000, 7300, 7300, 240000, 240000
0, 24, 240000, 240000, 7300, 7300, 250000, 250000
0, 25, 250000, 250000, 7300, 7300, 260000, 260000
0, 26, 260000, 260000, 7300, 7300, 270000, 270000
0, 27, 270000, 270000, 7300, 7300, 280000, 280000
0, 28, 280000, 280000, 7300, 7300, 290000, 290000
0, 29, 290000, 290000, 7300, 7300, 300000, 300000
0, 30, 300000, 300000, 7300, 7300, 310000, 310000
0, 31, 310000, 310000, 7300, 7300, 320000, 320000
0, 32, 320000, 320000, 7300, 7300, 330000, 330000
0, 33, 330000, 330000, 7300, 7300, 340000, 340000
0, 34, 340000, 340000, 7300, 7300, 350000, 350000
0, 35, 350000, 350000, 7300, 7300, 360000, 360000
0, 36, 360000, 360000, 7300, 7300, 370000, 370000
0, 37, 370000, 370000, 7300, 7300, 380000, 380000
0, 38, 380000, 380000, 7300, 7300, 390000, 390000
0, 39, 390000, 390000, 7300, 7300, 400000, 400000
0, 40, 400000, 400000, 7300, 7300, 410000, 410000
0, 41, 410000, 410000, 7300, 7300, 420000, 420000
0, 42, 420000, 420000, 7300, 7300, 430000, 430000
0, 43, 430000, 430000, 7300, 7300, 440000, 440000
0, 44, 440000, 440000, 7300, 7300, 450000, 450000
0, 45, 450000, 450000, 7300, 7300, 460000, 460000
0, 46, 460000, 460000, 7300, 7300, 470000, 470000
0, 47, 470000, 470000, 7300, 7300, 480000, 480000
0, 48, 480000, 480000, 7300, 7300, 490000, 490000
0, 49, 490000, 490000, 7300, 7300, 500000, 500000
0, 50, 500000, 500000, 7300, 7300, 510000, 510000
0, 51, 510000, 510000, 7300, 7300, 520000, 520000
0, 52, 520000, 520000, 7300, 7300, 530000, 530000
0, 53, 530000, 530000, 7300, 7300, 540000, 540000
